time,open,high,low,close,bar_index
1674504000,24.183,24.348,24.035,24.329,548
1674507600,24.328,24.367,24.209,24.343,549
1674511200,24.345,24.55,24.283,24.406,550
1674514800,24.407,24.466,24.309,24.347,551
1674518400,24.346,24.449,24.056,24.266,552
1674522000,24.267,24.666,24.142,24.636,553
1674525600,24.635,25.3,24.632,24.864,554
1674529200,24.864,25.087,24.817,25.014,555
1674532800,25.014,25.035,24.7,24.786,556
1674536400,24.786,24.905,24.65,24.88,557
1674540000,24.88,24.948,24.767,24.86,558
1674543600,24.86,24.887,24.728,24.791,559
1674547200,24.791,24.962,24.675,24.81,560
1674550800,24.81,24.817,24.388,24.539,561
1674554400,24.539,24.636,24.409,24.541,562
1674558000,24.54,24.588,24.271,24.469,563
1674561600,24.474,24.59,24.339,24.464,564
1674565200,24.463,24.588,23.862,24.218,565
1674568800,24.219,24.499,24.01,24.299,566
1674572400,24.3,24.495,24.14,24.489,567
1674576000,24.49,24.549,24.221,24.304,568
1674579600,24.305,24.356,24.06,24.288,569
1674583200,24.286,24.476,24.217,24.415,570
1674586800,24.416,24.539,24.351,24.468,571
1674590400,24.468,24.515,24.015,24.252,572
1674594000,24.251,24.45,23.57,23.95,573
1674597600,23.949,23.983,22.11,22.986,574
1674601200,22.986,23.131,22.475,22.77,575
1674604800,22.77,22.988,22.426,22.794,576
1674608400,22.795,22.851,22.187,22.544,577
1674612000,22.545,22.858,22.516,22.707,578
1674615600,22.707,22.953,22.68,22.916,579
1674619200,22.917,23.042,22.874,22.906,580
1674622800,22.907,23.081,22.851,22.98,581
1674626400,22.979,23.28,22.878,23.254,582
1674630000,23.253,23.407,23.204,23.252,583
1674633600,23.253,23.389,23.14,23.19,584
1674637200,23.189,23.212,22.96,23.039,585
1674640800,23.039,23.278,23,23.209,586
1674644400,23.213,23.259,23.016,23.127,587
1674648000,23.128,24.372,23.114,24.288,588
1674651600,24.288,24.573,23.803,23.853,589
1674655200,23.854,23.95,23.07,23.099,590
